manufacturer,part #,speed,type,modules,price / gb,color,cas latency,voltage,timing,ecc / registered,heat spreader,prices,rating,reviews
g.skill,f4-2400c15d-16gvr,ddr4-2400,288-pin dimm,2 x 8gb,$4.062,black / red,15,1.2 v,,non-ecc / unbuffered,yes,$64.99,"(74 Ratings, 4.8 Average)","Beautiful RAM, definitely can't fit 4 stick of RAM with the CPU cooler but 16GB is more than enough for me,Nothing much to add here. G.Skill makes great RAM and they look great. ,It works and it's fast. Nothing less !!!,Works Great,RAM is RAM. I picked this up for a pretty good price at the time. In retrospect, I would have gotten something a little more low-profile to accommodate a larger CPU cooler.,It's ram.  And it's fast.  ,Well they fit the format, and worked from the get go.,Definitely one of the best RAM, performance and speed wise. Ripjaws always get the job done (got them in white to match the color of my build),Fast and cheap.,They don't not work."
corsair,cmw16gx4m2c3600c18w,ddr4-3600,288-pin dimm,2 x 8gb,$8.624,white,18,1.35 v,18-19-19-39,non-ecc / unbuffered,yes,"$137.99,$137.99,$139.99","(2 Ratings, 4.5 Average)","Flashy colors make me go ooh ahh,My only complaint with this RAM is the price. For $140 it should at least be CL16. That being said, it looks phenomenal and ICUE has some really cool  lighting modes with it."
corsair,cmk32gx4m4d3600c18,ddr4-3600,288-pin dimm,4 x 8gb,$5.093,black / yellow,18,1.35 v,18-22-22-42,non-ecc / unbuffered,yes,"$162.99,$162.99,$174.99",(0 Ratings),
kingston,hx432c16fb3k2/16,ddr4-3200,288-pin dimm,2 x 8gb,$5.499,black / silver,16,1.35 v,,non-ecc / unbuffered,yes,"$87.99,$89.83","(1 Rating, 5.0 Average)","on stock it runs on 2666 but with XMP it flawlessly works on 3200, I put it on 3600 once, it was stable and fine but went back to 3200 since there were no difference in real life scenarios like games. It's sleek, small passive cooling, fits nicely with huge coolers like the noctua, not a single problem."
geil,gls416gb3200c16adc,ddr4-3200,288-pin dimm,2 x 8gb,$5.124,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,$81.99,"(1 Rating, 4.0 Average)","Great value memory using Samsung B-Die chips. However, they are low-quality B-Die, only being able to maintain 3533mhz at overclock. We never can complain about free performance gains, but you should be aware of it. 
The RGB, on the other hand, is amazing, one of the prettiest I ever saw.
The only problem is that they are not low profile. So be careful when putting it together with an AIO on the top."
g.skill,f4-3600c16d-32gtzrc,ddr4-3600,288-pin dimm,2 x 16gb,$5.500,black,16,1.35 v,16-19-19-39,non-ecc / unbuffered,yes,$175.99,(0 Ratings),
g.skill,f4-3600c16d-32gtzn,ddr4-3600,288-pin dimm,2 x 16gb,$9.218,black / silver,16,1.35 v,16-16-16-36,non-ecc / unbuffered,yes,"$294.99,$346.49","(1 Rating, 5.0 Average)","I was able to enable DOCP using this kit with no issues. If you're wondering why this kit has such a massive premium over the F4-3600C16D-32GTZNC, it's because this kit uses Samsung B-Die."
corsair,cmw32gx4m2e3200c16,ddr4-3200,288-pin dimm,2 x 16gb,$5.156,black,16,1.35 v,16-20-20-38,non-ecc / unbuffered,yes,"$159.99,$164.99",(0 Ratings),
kingston,hx426c16fr2k2/16,ddr4-2666,288-pin dimm,2 x 8gb,,red,16,1.2 v,,non-ecc / unbuffered,yes,,"(4 Ratings, 4.5 Average)","Opted for 2666 as I checked out various YouTube videos that showed there was limited difference going up higher. Working as expected,Was initially going with 2x4GB Patriot Viper 3000Mhz but ended up getting these. Overclocked easily to 2933Mhz without messing with the voltages too much. Aesthetically they don't look anything amazing but I really wish that I could've gotten the white colored ones so that it could blend in nicely with the rest of the parts.,7 months and I haven't had a single issue with them. I should have opted for faster RAM, and this is probably the weakest part of my build (I have a Ryzen 5 2600X CPU, and they are notoriously hungry for fast RAM), but from all the benchmarks I've seen, I'll be losing around 4-5 FPS should I use them to play more demanding AAA titles, and I mostly play older titles, so..."
corsair,cmt32gx4m2k4000c19,ddr4-4000,288-pin dimm,2 x 16gb,$14.062,black,19,1.35 v,19-23-23-45,non-ecc / unbuffered,yes,"$449.99,$509.99,$563.76",(0 Ratings),
corsair,cmk16gx4m2a2666c16r,ddr4-2666,288-pin dimm,2 x 8gb,$4.562,red,16,1.2 v,16-18-18-35,non-ecc / unbuffered,yes,"$72.99,$72.99,$78.64","(4 Ratings, 5.0 Average)","It's RAM! It works, it looks nice.,Works great thanks corsair! Might upgrade to 32Gb if I get the urge to drain my bank account even further. ,Nice ram, works as intended and looks good.,RAM IS RAM and this is great"
patriot,psd48g2400k,ddr4-2400,288-pin dimm,2 x 4gb,$4.499,,16,1.2 v,,non-ecc / unbuffered,no,$35.99,"(3 Ratings, 4.7 Average)","Ram is ram. DDR4-2400 isn't too shabby is it? This pair consistently pulls its weight at 2400mhz. The only thing is... they're freaking GREEN! Like old fashioned DDR2 green! They work, but just look dumb.,As far as RAM goes, it was pretty straight forward. Got it in the DIMM slots and they were instantly recognized in the bios. Patriot makes some good RAM for a reasonable price,This is very nice and reliable memory, especially for the price. I don't spend all day gawking at the insides of my computer so the lack of a heat spreader does not matter to me. patriot is able to make very nice and reliable memory for low cost. amazing option if you are on a budget"
kingston,kth-pl426lq/64g,ddr4-2666,288-pin dimm,1 x 64gb,$5.594,green / black,19,1.2 v,,ecc / registered,no,"$357.99,$405.61",(0 Ratings),
g.skill,f4-3000c16d-16gvrb,ddr4-3000,288-pin dimm,2 x 8gb,$3.999,red / black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$63.99,"(2 Ratings, 4.5 Average)","Wouldn't run at rated speeds on the B450 but came close enough for its use.,Good quality RAM, works great with this system, fast enough for the games the kids play."
oloy,md4u083016bgda,ddr4-3000,288-pin dimm,2 x 8gb,$4.249,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,$67.99,(0 Ratings),
oloy,md4u082417ibda,ddr4-2400,288-pin dimm,2 x 8gb,$3.749,red / black,17,1.2 v,17-17-17-39,non-ecc / unbuffered,yes,$59.99,(0 Ratings),
g.skill,f4-3600c19d-16gsxkb,ddr4-3600,288-pin dimm,2 x 8gb,$4.437,silver / camo,19,1.35 v,19-20-20-40,non-ecc / unbuffered,yes,"$70.99,$77.56","(1 Rating, 4.0 Average)",It worked well but when the Ballistix Sport AT 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) went on sale for $129.00 I had to change it out.
patriot,psp48g266681h1,ddr4-2666,288-pin dimm,1 x 8gb,$4.374,black,19,1.2 v,19-19-19-43,non-ecc / unbuffered,yes,"$34.99,$34.99",(0 Ratings),
corsair,cmk32gx4m2a2666c16,ddr4-2666,288-pin dimm,2 x 16gb,$4.218,black / yellow,16,1.2 v,16-18-18-35,non-ecc / unbuffered,yes,"$134.99,$134.99,$134.99,$141.99","(8 Ratings, 4.9 Average)","very speedy RAM that was initially clocked at 2133 MHz but ran at correct speeds after XMP was enabled. RAM did not being overclocked at all under stock voltages & timings.,XMP profile worked perfectly. I unfortunately can't take advantage of the quad channel capabilities of my board, but still nice RAM nonetheless. ,These work right out the box with my crosshair vii.  No issues yet,Works flawlessly, great deal for the brand and amount of RAM provided. Vengeance RAM is known to be solid.,small overclock to 2933MHz. originally purchased to pair with an R5 1600 and I see no need to upgrade. motherboard still has 2 extra slots available if I ever need to expand beyond 32GB,32 GB of RAM seems kinda overkill, but I was assured that I would need it, and it's great for multitasking and gaming. Now, the obligatory ""It's RAM, it's fast"".,RAM is one of the most fearful parts may randomly fail. No problem so far."
corsair,cmz8gx3m1a1866c10,ddr3-1866,240-pin dimm,1 x 8gb,,black / silver,10,1.5 v,10-11-10-30,non-ecc / unbuffered,yes,,"(15 Ratings, 4.7 Average)","Does its job and looks good not much else to say,It's RAM. It looks sexy. Not much else.,Enjoy that I can keep low timings and decent data flow at 2000.  Under 80Cdn for 8gb"
g.skill,f4-4000c19d-32gtrs,ddr4-4000,288-pin dimm,2 x 16gb,$14.969,silver,19,1.35 v,19-19-19-39,non-ecc / unbuffered,yes,$479.00,"(1 Rating, 5.0 Average)",Never regret getting this. Pictures does its justice.
g.skill,f4-2400c15d-8gvr,ddr4-2400,288-pin dimm,2 x 4gb,$4.624,black / red,15,1.2 v,,non-ecc / unbuffered,yes,"$36.99,$44.68","(28 Ratings, 4.7 Average)","Good RAM, looks very nice in my black/white/red build, plenty fast enough, does the job.,It's ram, it's red, what else can I say?,Looks nice. Got my xmp profile loaded easily, works like a charm!,Cheap, and effective.,I like the way the G. Skills RAM looks. I'll probably get 2 more sticks of 4GB. This is DDR4 so I was excited because I'm coming from dusty old DDR2 land. No problems here.,RAM is RAM. I got 8 GB for my build and I will warn you, that is the MINIMUM RAM you will want. Any lower and you will have some problems in the future, especially with gaming. In fact, I recommend finding a 12 GB pack or 16 GB pack. Above 16 GB isn't really necessary unless you're going to run 50,000 programs at once.,They look clean with a gloss red paint and fit really well with MSI Red.,Chosen because they are red! Nice. ,Cheap and overclocked perfectly to 2800 without any voltage increase,G.skill I was originally sticking to 8gbs but there was some money left in the budget when the critical parts were bought so I thought why not?"
corsair,cmk16gx4m2b3000c15w,ddr4-3000,288-pin dimm,2 x 8gb,$4.812,white,15,1.35 v,15-17-17-35,non-ecc / unbuffered,yes,"$76.99,$77.99,$77.99,$87.68","(52 Ratings, 4.9 Average)","No complaints, look fantastic,Its ram and its white....not much to say here. Looking to purchase 2 more sticks to accompany these 2.,Love this ridiculously fast RAM. Im a slave to the DDR4-3000.,I just choosed the cheapest 3000Mhz+ 16Gb kit I found that was listed as compatible for my mobo verifying it has a Samsung chipset.,Pretty, white, it's RAM, I don't know... really can't say much more.,Good to go.,Never filled it all the way up with giant photo and video editing projects, holds to its rated speed just fine.,With the White build, I had to go for the white ram. Ryzen's are also well known for running better with faster ram speeds so I saw this on sale and just went for it. No real regrets except for the compatibility problem in the Motherboard description (Hopefully this will be fixed in an update soon).,Nice look, very good quality.,Great ram, matched my color scheme"
team,tdpgd416g3200hc14adc01,ddr4-3200,288-pin dimm,2 x 8gb,$8.124,black,14,1.35 v,14-14-14-31,non-ecc / unbuffered,yes,"$129.99,$135.99","(10 Ratings, 5.0 Average)","Super fast, competitively priced, and looks great! ,I love this stuff. Super fast timings, B-die, and pretty cool looking. I just set the DOCP and it works perfectly. Might try overclocking.,The best B die ram on the market.,Samsung's finest for AMD. I'm a fan of Team now and I feel that I would have no problems recommending them like I would Corsair. They are seriously a valid option in this price range.,Thankfully, these Team Dark Pro sticks advertise right on their Newegg page that they have the Samsung b-dies in them, and the timings of these particular sticks (14-14-14-31) seem perfect for my Ryzen 7. As soon as I opened the BIOS, the sticks hit 3200MHz without me having to do anything. Mission accomplished!,Pretty awesome RAM, still playing around with the timings, but I think I can get mine up to 3466 MHz at CL15.,Just tweaking the timings slightly has given me a boost so I am excited to mess with it more when I have time. Feel like I have a lot of room to push this, as is it B-die, I am excited to find out.,Overclocked @ 3733mhz 16-16-16-38 with Ryzen 3600x, 100% stable on a B450M with 1:1 infinity fabric. Amazing price:performance ratio on this memory!,Bought two of these kits. Played a lot with OCing 2 and 4 sticks. XMP works well on both configurations.
2 sticks can easily run 3800 @ 16-17-16-16-32. Though I think I'm a bit lucky that my Ryzen 5 3600 can do stable IF 1900Mhz (dunno if it's common to them). Every Fast preset from Ryzen DRAM Calculator runs pretty good maybe with some little changes...
4 sticks usage is a bit complicated but still good. Fast preset works for rated speed - 3200 @ 14-14-14-28 (vs 14-14-14-31 from XMP) and 3466 @ 14-15-14-28. Everything higher works only on Safe presets but it is still worth it. Mine 4 sticks now running stable at 3600 @ 16-16-16-32. Going to try 3733-3800 cl16."
oloy,md4u083016beda,ddr4-3000,288-pin dimm,2 x 8gb,$4.374,black / white,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,$69.99,(0 Ratings),
g.skill,f4-2666c19s-8gis,ddr4-2666,288-pin dimm,1 x 8gb,$3.624,red / black,19,1.2 v,19-19-19-43,non-ecc / unbuffered,no,"$28.99,$37.07",(0 Ratings),
g.skill,f4-3600c16d-16gtzrc,ddr4-3600,288-pin dimm,2 x 8gb,$6.749,black,16,1.35 v,16-19-19-39,non-ecc / unbuffered,yes,$107.99,(0 Ratings),
kingston,hx432c18fb2k2/16,ddr4-3200,288-pin dimm,1 x 16gb,$5.984,black / silver,18,1.2 v,,non-ecc / unbuffered,yes,$95.75,"(1 Rating, 5.0 Average)","Great ram. Looks good, compatible with my mobo, and it comes in a variety of customizations. Only regret I have is that I got a single stick of 16 gigs forgoing the ability to run dual channel because I thought that I might want to upgrade to 64 gigs someday. Really former self? I get that you were a noob, but what were you thinking?"
crucial,bls2k8g4d26bfsbk,ddr4-2666,288-pin dimm,2 x 8gb,$4.124,gray,16,1.2 v,,non-ecc / unbuffered,yes,"$57.99,$65.99,$65.99,$74.99","(5 Ratings, 4.4 Average)","It's fine for now, for 2666 Mhz, but I may try some faster kits for the Ryzen 5 1400.,Rated 3 stars because it is what it is. It's RAM. All PCs need it. It lost 2 stars because of the price and because I couldn't find it in white at the time I bought it.,I have the white version version of this ram and it looks dope as hell with the white case and fits into my white black and blue theme. Had no problems whatsoever and is running at 2666 MHz straight of the box with no need to fiddle with it in the bios. I think I will be overclocking it in the future, not sure yet."
g.skill,f4-3600c16q-32gtznc,ddr4-3600,288-pin dimm,4 x 8gb,$7.062,silver / black,16,1.35 v,16-19-19-39,non-ecc / unbuffered,yes,"$225.99,$329.00","(1 Rating, 4.0 Average)","This kit was perfect for Ryzen, but I'm underwhelmed by the RGB aspect.  I didn't buy for RGB though.  This was the cheapest CL 16 3600 kit I could get at the time of purchase.  RAM is RAM.  Minus one star for underwhelming RGB effects (set mine to static).  Otherwise, this is great RAM."
corsair,cmw64gx4m2e3200c16,ddr4-3200,288-pin dimm,2 x 32gb,$4.844,black,16,1.35 v,16-20-20-38,non-ecc / unbuffered,yes,"$309.99,$354.00",(0 Ratings),
corsair,cmt64gx4m4k3600c18,ddr4-3600,288-pin dimm,4 x 16gb,$10.372,black,18,1.35 v,18-19-19-39,non-ecc / unbuffered,yes,"$663.78,$749.99","(1 Rating, 5.0 Average)","Loads of RAM. 
Probably will never need as much as 64GB but.... love the RGB on them.,The iCue software isn't the most intuitive in the world but it does the job."
team,tf3d48g3000hc16cdc01,ddr4-3000,288-pin dimm,2 x 4gb,$6.249,black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,"$49.99,$53.96","(16 Ratings, 4.6 Average)","Speedy and quick While i like the color, I feel like they need something else.,PROS: Speed, reliability
CONS: Needs more color options,Chose this memory mainly because it was the cheapest black 2x4gb DDR4-3000 that I could find at time of purchase, the RGB was just a nice bonus. With my b450 Gaming Pro Carbon motherboard I did have to go into the bios to manually overclock in order to get the advertised speed. However it has been running stable at 3066 for several weeks now. I can also modify the RGB through the MysticLight app which has been nice as well, and it looks great. ,Look great. No problems with function. One of the lowest cost per GB with high speeds.,Changed it to 2933 in the BIOS for B350 board. The RGB  is good (not as good as G.SKILL TridentZ).,I went with this ram because it had the frequency I wanted and it had RGB so automatic performance boost right?,This ram is great. Good, fast ram for Ryzen, with some individually addressable RGB LEDs. It looks fantastic and works as expected. Was able to OC to the full 2933 Mhz.,The first kit they sent me was DOA. So I had to RMA it to the US, which was a huge hassle. Also, the RGB wave effect is quite significantly off-sync, no matter what I know. But since I am  just leaving it on plain white, it doesn't really matter.,High quality, yet budget RAM. Good speeds and timings, the heatsink is made from a heavy metal, and the RGB looks very nice.,Budget RGB memory that does a wonderful job for the money. The black heatsink looks great and the LEDs do a wonderful job displaying some bright colors. In pictures they do look to have bad hot-spots but in person they aren't nearly as visible.,Fast RAM that runs at the full 3000, even on a technically unsupported board. The LED lighting is vibrant and bright. I don't normally buy RAM that isn't a top brand, but this has changed my mind. We'll see how long it lasts."
corsair,cmk64gx4m2d3000c16,ddr4-3000,288-pin dimm,2 x 32gb,$4.531,black / yellow,16,1.35 v,16-20-20-38,non-ecc / unbuffered,yes,"$289.99,$289.99,$304.99","(1 Rating, 5.0 Average)",
g.skill,f4-3200c16d-16gtrs,ddr4-3200,288-pin dimm,2 x 8gb,$7.499,silver,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,"$117.99,$119.99","(4 Ratings, 5.0 Average)","These memory sticks are beatiful and definitely worth it if you want the best looking ram. They matched my build perfectly and I couldn't be happier!,Wow. If you want to add some flair then consider nothing else. These sticks are gorgeous and pictures/videos don't do it justice. They look and feel just simply amazing. This was the one area I splurged and I know 32g isn't necessary by any means, but I got it on sale ($230 for 2 kits) and I won't have to worry about RAM for a decade. If on the fence, it is absolutely worth it.,The bling bling rams, looks amazing. My friend calls them the ""Johnny Dang Grillz"" of rams lol,I really really like how these things look , the show in my build very nice , and running certain lighting effects through these look absolutely amazing , also the lighting is very very easy to put into AURA sync and had no problems with them . Overall , these are just for looks , but they currently run at 3200 MHZ and it works perfect for my 3700x."
gigabyte,gp-ar32c16s8k2hu416rd,ddr4-3200,288-pin dimm,2 x 8gb,$10.624,silver,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,$169.99,"(1 Rating, 5.0 Average)",Awesome kit of memory and the dummy sticks make this a very attractive kit i sadly lost the dummy sticks before the Pc was finish being built due to a move.
samsung,m393a8g40mb2-cvf,ddr4-2933,288-pin dimm,1 x 64gb,,green / black,21,1.2 v,,ecc / registered,no,,(0 Ratings),
team,tlgd416g3200hc16cdc01,ddr4-3200,288-pin dimm,2 x 8gb,$5.624,black / silver,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$89.98,"(8 Ratings, 4.8 Average)","RAM is RAM,RAM is expensive. This was the cheapest 3200 RAM at the time and it works at rated speeds with Ryzen. Can't ask for much more if you're on a budget.,Not much to say it's ram that works and runs at its listed speed. Im happy,Waited FOREVER to buy ram. Finally the prices are beginning to look reasonable and I got these puppies on sale. overclocked to 3200 out of the box and can handle a ton of work quickly. Opening 50 tabs at once has never been snappier.,Cheap, works at advertised speeds, good enough for me.,Can't believe I got this for so cheap! Lucked out in getting it right before it sold out on Newegg. Definitely recommend!,Should have wait a bit for it's price to drop, but well... Works good"
oloy,md4u163016cgda,ddr4-3000,288-pin dimm,2 x 16gb,$3.593,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,$114.99,"(1 Rating, 5.0 Average)",Nice cheap ram.
crucial,ct32g4lfd4266,ddr4-2666,288-pin dimm,1 x 32gb,$5.156,green / black,19,1.2 v,,ecc / unbuffered,no,"$165.00,$169.99,$169.99,$169.99,$192.60",(0 Ratings),
kingston,kvr26n19s8/8,ddr4-2666,288-pin dimm,1 x 8gb,$4.362,green / black,19,1.2 v,,non-ecc / unbuffered,no,"$34.90,$42.99,$61.60",(0 Ratings),
adata,ax4u320038g16-dt60,ddr4-3200,288-pin dimm,2 x 8gb,$5.312,silver / black,16,1.35 v,,non-ecc / unbuffered,yes,$84.99,"(3 Ratings, 5.0 Average)","the  memory set is covered by a large area of RGB light, very bright,Good RAM. Easy to install. Only issue is one of the lights lags behind the other then jumps to catch up but it only happens with certain effects."
patriot,pve48g266c6kgy,ddr4-2666,288-pin dimm,2 x 4gb,$4.999,silver,16,1.2 v,16-17-17-36,non-ecc / unbuffered,yes,"$39.99,$41.99","(3 Ratings, 4.3 Average)","Works as expected.,Comes stock at 2133. Super easy to make 2666. Looks awesome! A bit tall though. So make sure you have enough room in your mobo for your cpu cooler and these,Was able to overclock this kit to 3200Mhz, very happy with this memory. "
corsair,cmk16gx4m2e3200c16,ddr4-3200,288-pin dimm,2 x 8gb,$5.124,black,16,1.35 v,16-20-20-38,non-ecc / unbuffered,yes,"$81.99,$81.99,$89.99","(1 Rating, 5.0 Average)","Went with reviews I had read online when choosing this memory, given my time over would have purchased a 4 pack of RGB vengeance.
Selected XMP after the build without really knowing what I was doing but as it turns out mem speed is up around 4100, not bad for 3200 memory and base clock raised to 100.8 thereby increasing CPU to 4.35 by default. So far have not had any issues with lock up or reboot apart from getting over exhuberant with OC."
corsair,cmt128gx4m8x3800c19,ddr4-3800,288-pin dimm,8 x 16gb,$12.734,black,19,1.35 v,19-19-19-39,non-ecc / unbuffered,yes,"$1629.99,$1794.99,$1979.93",(0 Ratings),
corsair,cmk32gx4m2b3000c15,ddr4-3000,288-pin dimm,2 x 16gb,$4.156,black / yellow,15,1.35 v,15-15-15-36,non-ecc / unbuffered,yes,"$132.99,$132.99,$139.99,$142.99","(11 Ratings, 4.5 Average)","Cheapest 32GB (16 X 2) 3000MHz Kit I could find. In my situation, the XMP profile loads great, but runs stable only at 2800MHz. But great value, runs cool, and the small profile is perfect for a tightly spaced ITX cases.,Looks really good, although I regret not spending a bit more for the RGB variant. Started out at base/default 2133MHz but was easy to bring to its rated 3000MHz with no stability issues so far. ,Works without any problem, XMP works fine with MSI mobo, may switch to DRR4-3200 in the future.,I have 4x16GB, and they only run at 2800Mhz max,I went with these ones instead of HyperX. The Corsair Vengeance lineup has nice OC support and XMP settings, can be fitted on any motherboard as it's on every single QVL you can find, has moderately competitive prices and its looks are subdued. You can pick other colours, too. Highly recommended.,Very high performance memory for the price. It is also relatively low profile RAM (33.5 mm), which really helps with mini-ITX builds.  The XMP 2.0 profile was  easy to import into UEFI/bios on my ASRock x470 mini-ITX/ac motherboard. Unfortunately, I docked 2 stars for one of the two modules failing Memtest86 v7.5 right out of the box. 
Amazon's RMA process is painless and new RAM is on the way.,Very good RAM modules for Ryzen processotrs Was able to bring it up to 3400Mhz without any issues. Did try further but this seems to be the limit with decent timings.,Great memory and the look nice. Are running at their target speed no issues,Super fast RAM. Well worth the money when I'm running Lightroom, playing music, have a browser open and am exporting an album whilst scrolling through RAW files. ,Does what RAM does. Don't have it at full speed yet."
g.skill,f4-3600c18d-32gtzr,ddr4-3600,288-pin dimm,2 x 16gb,$5.156,black,18,1.35 v,18-22-22-42,non-ecc / unbuffered,yes,"$164.99,$276.48",(0 Ratings),
g.skill,f4-3200c16d-32gtzrx,ddr4-3200,288-pin dimm,2 x 16gb,$6.873,black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,"$154.99,$219.95","(3 Ratings, 5.0 Average)","EXCELLENT again. No complaints at all. Killer looks and performance.,Good RAM. Good out of the box XMP overclock with x570 motherboards.,great working RAM!
using MSI Mystic Light from Dragon Center works well to control the RGB leds on these.
to run at 3200 speed i had to push a button in my BIOS and restart."
corsair,cmt32gx4m2c3200c16,ddr4-3200,288-pin dimm,2 x 16gb,$6.031,black,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,"$192.99,$194.99,$194.99,$194.99","(5 Ratings, 4.6 Average)","This memory is very stable. I have not had a chance to overclock it beyond 3200MHz though.,A showpiece in my build, it's bright, pretty, and also cools itself well under load. The RGB lights on the RAM are mesmerizing to look at, has great support from Corsair's iCUE software, and is also compatible with Asus Aura!,So I wanted only 16gb and non RGB, but more is better right?,Started off with different ram in here than this one. I was still happy with it, but I wanted to fill in all the slots, plus I had built a media server and needed ram for it. So I upgraded this machine instead. It's nice ram. Doesn't run too hot, and the RGB is a nice touch. Though I have noticed that sometimes the RGB will get out of sync for some reason, but that could be the iCue software.,Great memory from a design standpoint but hasn't been playing nice on compatibility with mobos I've tried it in. Tweaked timing for stability but not quite where I'd like it to be for the price."
crucial,bls2k8g4d30aesbk,ddr4-3000,288-pin dimm,2 x 8gb,$4.469,silver / black,15,1.35 v,,non-ecc / unbuffered,yes,"$71.50,$71.50,$71.99,$74.99","(7 Ratings, 4.7 Average)","It's RAM, but SPEEDY,i wish i had the RGB model,Its RAM. Does what it says on the tin. Will probably buy an additional 16 gigs eventually. Turning on the XMP profile allows it to run at the rated 3000MHz CL15 with no fuss. Heatspreaders are subtle and low profile which is good with a beefy air cooler like the Dark Rock Pro.,OCs to 3200mhz cl14 very well and is enough ram for most people,It's ram, its cheap. Not much more to say. I was able to pick up 32gbs for $120 on amazon prime day.,Probably the best price/performance ratio RAM can have. Got it overclocked to 3400MHz CL13-18-18-36 1.5v,The RAM contains Micron-E dies and can run at DDR4-3200 CL14 with timings provided by the Ryzen DRAM calculator ""Fast"" option."
g.skill,f4-3200c16d-16gtzkw,ddr4-3200,288-pin dimm,2 x 8gb,$4.999,black / white,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$79.98,"(34 Ratings, 4.7 Average)","Amazing aesthetics, brushed black aluminum with the white inserts makes for a happy RAM stick. 3200 and 3000 mhz both caused stuttering, 2666 mhz seems to be the sweet spot for this RAM in my current setup but the difference is almost entirely negligible. ,Best looking ram i have ever seen and solid aluminim construction. These are amazing but expensive!,It's RAM. Nice heatsink with decent timings. Can't get it to 3200MHz on my Gigabyte AX370 Gaming 5 yet.,Great ram works very well and looks great,These things just look amazing, and perform great. Will be buying another pair of these soon.,I had my heart set on an RGB RAM kit, but settled on this one when it went on sale. It's a slower latency and I've only got it to run at 2933mhz so far (not the rated 3200 mhz). Hopefully, a bios update will fix this issue, but otherwise it's a serviceable kit that fit the color scheme.,I read somewhere online that these memory sticks are already optimized for my CPU but when I started my computer up, they did not run at 3200. Memory is memory though so it's fine I'm fine.,These are great. I bought 3 separate packs but the xmp has worked fine each time. In a week or so I will grab one more pack for now.,Good looking DDR4-3200. ,It's pretty (expensive). "
corsair,cmk8gx4m1e3200c16,ddr4-3200,288-pin dimm,1 x 8gb,$5.624,black / yellow,16,1.35 v,16-20-20-38,non-ecc / unbuffered,yes,$44.99,(0 Ratings),
crucial,ct64g4yfq426s,ddr4-2666,288-pin dimm,1 x 64gb,$6.673,green / black,19,1.2 v,,ecc / registered,no,"$427.06,$449.99",(0 Ratings),
team,ttd48g2666c18h01,ddr4-2666,288-pin dimm,1 x 8gb,,black / red,18,1.2 v,18-18-18-43,non-ecc / unbuffered,yes,,(0 Ratings),
corsair,cmk64gx4m2c3000c15,ddr4-3000,288-pin dimm,2 x 32gb,$4.625,black / yellow,15,1.35 v,15-17-17-35,non-ecc / unbuffered,yes,"$295.99,$314.99,$322.50",(0 Ratings),
g.skill,f4-3200c16s-16gis,ddr4-3200,288-pin dimm,1 x 16gb,$3.812,red / black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,no,"$60.99,$119.99",(0 Ratings),
patriot,psp416g2400kh1,ddr4-2400,288-pin dimm,2 x 8gb,$4.374,black,17,1.2 v,17-17-17-39,non-ecc / unbuffered,yes,"$69.98,$69.99",(0 Ratings),
team,tlzgd432g3200hc16cdc01,ddr4-3200,288-pin dimm,2 x 16gb,$4.250,black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$135.99,(0 Ratings),
adata,ax4u300038g16-dsz1,ddr4-3000,288-pin dimm,2 x 8gb,$3.999,silver / black,16,1.35 v,,non-ecc / unbuffered,yes,$63.99,"(1 Rating, 5.0 Average)",These memory sticks look better in person and have a clear film over the black part that can be peeled off. Seems to do its job well in my PC.
team,tdzrd416g3200hc16cdc01,ddr4-3200,288-pin dimm,2 x 8gb,$4.749,red / black,16,1.35 v,16-18-18-38,non-ecc / unbuffered,yes,$75.98,(0 Ratings),
corsair,cmk32gx4m4b3200c16,ddr4-3200,288-pin dimm,4 x 8gb,$5.000,black / yellow,16,1.35 v,16-18-18-36,non-ecc / unbuffered,yes,"$159.99,$159.99,$174.99","(1 Rating, 5.0 Average)","This was hard. Cross referenced both Asrock and Corsair  (and other) sites to make sure whatever memory I chose  would run without problems. I chose to use 4 X 8 because a review said this board  would run better with all slots filled. I went with 3200 as it was the highest native speed, and it did run right out of the box with no problems. A different review of ram speeds showed 3200 was  enough  for me."
