manufacturer,model,part #,core count,core clock,boost clock,tdp,series,microarchitecture,core family,socket,integrated graphics,maximum supported memory,ecc support,packaging,includes cpu cooler,l1 cache,l2 cache,l3 cache,lithography,simultaneous multithreading,prices,rating,reviews
intel,core i7-870,bv80605001905ai,4,2.93 ghz,,95 w,intel core i7,nehalem,lynnfield,lga1156,none,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,45 nm,yes: hyper-threading,$203.97,"(1 Rating, 5.0 Average)",
intel,xeon e5-2690 v4,bx80660e52690v4,14,2.6 ghz,3.5 ghz,135 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,boxed,no,14 x 32 kb instruction 14 x 32 kb data,14 x 256 kb,1 x 35 mb,14 nm,yes: hyper-threading,$2168.00,"(1 Rating, 5.0 Average)","Great trade-off between core speed, number of cores, and thermal output. Would buy them again."
amd,fd6350frhkhbx wraith,fd6350frhkhbx,6,3.9 ghz,,125 w,amd fx,piledriver,vishera,am3+,none,,no,boxed,yes,3 x 64 kb instruction 6 x 16 kb data,3 x 2 mb,1 x 8 mb,32 nm,no,,"(1 Rating, 4.0 Average)","An oldie but a goodie, while I can't recommend you build a new system around this cpu, it has served me well for almost 4 years. However am3+ is a degraded platform."
intel,,cm8068403358610,6,3.1 ghz,4.6 ghz,65 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,,(0 Ratings),
intel,pentium e5700,bx80571e5700,2,3 ghz,,65 w,intel pentium,core,wolfdale,lga775,none,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,1 x 2 mb,none,45 nm,no,,(0 Ratings),
amd,phenom ii x4 945,hdx945wfgibox,4,3 ghz,,125 w,amd phenom ii x4,k10,deneb,am3,none,,no,boxed,yes,4 x 64 kb instruction 4 x 64 kb data,4 x 512 kb,1 x 6 mb,45 nm,no,$334.35,"(1 Rating, 4.0 Average)",
intel,,bx80684e2124,4,3.3 ghz,4.3 ghz,71 w,intel xeon e,coffee lake,coffee lake,lga1151,none,64 gb,yes,boxed,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,no,"$207.06,$209.99",(0 Ratings),
intel,core i7-875k,bx80605i7875k,4,2.93 ghz,,95 w,intel core i7,nehalem,lynnfield,lga1156,none,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,45 nm,yes: hyper-threading,$317.95,"(1 Rating, 5.0 Average)",Reviewing identical Xeon X3470. Very good overclocker. Choose the higher binned Xeon over i7's
intel,core i7-2600s,bx80623i72600s,4,2.8 ghz,,65 w,intel core i7,sandy bridge,sandy bridge,lga1155,intel hd graphics 2000,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,32 nm,yes: hyper-threading,$291.76,"(1 Rating, 5.0 Average)",
intel,xeon e5-2670 v3,cm8064401544801,12,2.3 ghz,3.1 ghz,120 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,12 x 32 kb instruction 12 x 32 kb data,12 x 256 kb,1 x 30 mb,22 nm,yes: hyper-threading,$456.08,(0 Ratings),
intel,core 2 duo e8600,at80570pj0936m,2,3.33 ghz,,65 w,intel core 2 duo,core,wolfdale,lga775,none,,no,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,1 x 6 mb,none,45 nm,no,$96.00,"(2 Ratings, 4.5 Average)",Only 2 cores and no hyperthreading but for $10 a 3.33GHz 6MB cache processor is a pretty good deal.
intel,,bx80673i97940x,14,3.1 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,boxed,no,14 x 32 kb instruction 14 x 32 kb data,1214 x 1 mb,1 x 19.25 mb,14 nm,yes: hyper-threading,,"(1 Rating, 5.0 Average)","The core i9-7940X is great, totally worth the money for the computing power. With this CPU i can run any game and handle every work task I have with no issues. "
intel,xeon e5-2687w,bx80621e52687w,8,3.1 ghz,3.8 ghz,150 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,boxed,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,$430.95,(0 Ratings),
intel,core 2 duo e8500,eu80570pj0876m,2,3.16 ghz,,65 w,intel core 2 duo,core,wolfdale,lga775,none,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,1 x 6 mb,none,45 nm,no,,(0 Ratings),
amd,athlon ii x4 635,adx635wfk42gm,4,2.9 ghz,,95 w,amd athlon ii x4,k10,propus,am3,none,,no,oem/tray,no,4 x 64 kb instruction 4 x 64 kb data,4 x 512 kb,none,45 nm,no,$65.07,(0 Ratings),
intel,core i3-4150,bx80646i34150,2,3.5 ghz,,54 w,intel core i3,haswell refresh,haswell refresh,lga1150,intel hd graphics 4400,,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,yes: hyper-threading,$199.99,"(33 Ratings, 4.7 Average)","I'm very happy with this CPU although a quad core would've been awesome, but I'm absolutely fine with my 3.5GHz i3. It's great and hasn't had any faults. Thank god.,Sufficient enough for my needs! I use my PC for work in Game Development. My usual programs is Unity3D (Game Engine), Microsoft Visual Studio, GIMP and Chrome with several tabs.,Great CPU, if your looking for budget gaming or just a solid CPU this is your man,Great budget Chip,This cpu works great for most games and the hyper threading is a great bouns which gives you four threads. ,Good cpu for the money, dual core with hyper threading. Nice choice for those who can't splash out on the more expensive I5 or I7 cpu's,Great processor for mid-level gaming.  Hyper threading is extremely under estimated. I was surprised I can play GTA V, Titanfall 2, Warframe, Warhammer: Total War, Paladins, etc just fine and most of the those over 60 fps. For desktop usage  this is a very responsive chip that handles web browsing, spreadsheets, and multiple remote sessions just fine. I do plan to upgrade this to an i5 or i7 due to my video editing. This will render 1080p movie files just fine but were talking about 18 minutes for an 8 minute video.  ,Kinda slow and pricey. Would recommend an i5,Works great. Does everything I need it to!,It's a nice old CPU. It has a hard time multi-tasking at times and chugs along. I'm used to this though because I came from the Pentium 2020m. Overall it does mostly everything I need it to. It can game and create. It however isn't that good in Audacity. I don't know why it performs poorly in audacity. Maybe it doesn't utilize the hyper-threading. Idk. It's maybe not good for its price anymore. "
amd,phenom ii x6 1055t,hdt55tfbgrbox,6,2.8 ghz,,125 w,amd phenom ii x6,k10,thuban,am3,none,,no,boxed,yes,6 x 64 kb instruction 6 x 64 kb data,6 x 512 kb,1 x 6 mb,45 nm,no,,"(3 Ratings, 4.0 Average)","It's a surprisingly powerful little chip for how old it is. Mine overclocked to 3.65 GHz, making it just a bit slower than a FX 6300. It manages to stay surprisingly cool even when under full load under Prime95. Overall still a decent chip for 2016.,Still runs like a charm, haven't experienced any bottlenecking. Stock cooler runs surprisingly cool, but is very noisy. But overall I'm very happy with it. "
amd,fx-8370e,fd837ewmhkbox,8,3.3 ghz,4.3 ghz,95 w,amd fx,piledriver,vishera,am3+,none,,no,boxed,yes,4 x 64 kb instruction 8 x 16 kb data,4 x 2 mb,1 x 8 mb,32 nm,no,,(0 Ratings),
intel,xeon e5-2630 v3,cm8064401831000,8,2.4 ghz,3.2 ghz,85 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,22 nm,yes: hyper-threading,$675.00,"(1 Rating, 5.0 Average)",I put two of these in a workstation system and they work well and have run for many months straight with a demanding computation load. 
intel,xeon e3-1231 v3,bx80646e31231v3,4,3.4 ghz,3.8 ghz,80 w,intel xeon e3,haswell refresh,haswell refresh,lga1150,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,$505.30,"(34 Ratings, 5.0 Average)","It's fast and comparatively cheap. Runs cool under a good cooler.,Abslolutely awesome CPU. I had a really hard time choosing between a locked I7 with hyperthreading and a unlocked I5 without hyperthreading. Also, I was on a pretty tight budget. This was the perfect solution: it has hyperthreading and boosts up to 3,9 Ghz. IMO it's just an I7 without the integrated graphics. If you don't need the extra GHz's and you're planning on buying a GPU, this is the one I'd recommend.,Better than a i5 if you don't plan on overclocking for the same cost! whats not to like? ,Perfect for those people who don't need to overclock and don't want to spend as much money for similar performance. Great CPU deserves every star.,An I-7 for $100 less, and it has ECC support.  Great CPU if you don't want integrated graphics.,Best value 4C/8T chip hands down and will give overclocked i5 and i7's a run for their money. ,CPU: Incredible if you don't intend to overclock like me. For right now I'm just focusing on keeping everything frosty cool (hence Kraken X61). When deciding between this and an unlocked i5 it is really the tradeoff of overclocking vs hyperthreading. I went with hyperthreading and don't regret it for a second, I love my Xeon. Plus there's the added hype/originality/awesomeness factor that naturally comes with a Xeon.,i7 4770 without the iGPU.  Lower TDP, lower cost, no loss for anyone using a dedicated GPU.  One of the best value CPUs on the market.,That Intel Xeon E3-1231 V3 processor is furiously fast!!! (But, what would we expect from a Xeon E3?),EXCELLENT processor, especially around the $200 price mark."
intel,xeon e5-2667 v2,cm8063501287304,8,3.3 ghz,4 ghz,130 w,intel xeon e5,ivy bridge,ivy bridge-ep,lga2011,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,,(0 Ratings),
amd,a8-6500,ad6500okhlbox,4,3.5 ghz,,65 w,amd a8,piledriver,richland,fm2,radeon hd 8570d,,no,boxed,yes,2 x 64 kb instruction 4 x 16 kb data,2 x 1 mb,none,32 nm,no,,(0 Ratings),
intel,pentium e5300,bx80571e5300,2,2.6 ghz,,65 w,intel pentium,core,wolfdale,lga775,none,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,1 x 2 mb,none,45 nm,no,$85.00,"(1 Rating, 4.0 Average)",Great CPU but whenever I play minecraft the CPU usage ALWAYS goes up to 100%
intel,core i7-5775c,bx80658i75775c,4,3.3 ghz,3.7 ghz,65 w,intel core i7,broadwell,broadwell,lga1150,iris pro graphics 6200,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,yes: hyper-threading,$1077.88,"(2 Ratings, 5.0 Average)","The CPU is a monster, I know most people don’t like it but it’s awesome, the Iris Pro is on par with a mobile 650m or 750m card and plays almost any game on medium 1080p and all at low 1080p, I know it’s not the same as a dedicated GPU by any means, but it holds me up until the next batch of cards arrive. ,A great performance - power efficient processor and great iGPU Iris 6200, if you are a hardcore gamer your match is a 4790K or 6700K instead of this."
intel,,bx80677i37300,2,4 ghz,,51 w,intel core i3,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,14 nm,yes: hyper-threading,"$169.89,$247.17","(1 Rating, 4.0 Average)",Lacklustre at best. Scores about 427 cb in Cinebench R15 and DO NOT edit videos at any resolution higher than 1080p with this CPU. Not bad for gaming though. Dual-core CPUs are basically dead for gaming at this point.
intel,,cd8067304126300,12,3.5 ghz,4.4 ghz,165 w,intel core i9,skylake,skylake-x,lga2066,none,128 gb,no,oem/tray,no,12 x 32 kb instruction 12 x 32 kb data,12 x 1 mb,1 x 19.25 mb,14 nm,yes: hyper-threading,$999.00,(0 Ratings),
intel,xeon e5-2687w v3,bx80644e52687v3,10,3.1 ghz,3.5 ghz,160 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,$2998.95,(0 Ratings),
amd,phenom ii x4 955 black,hdz955fbgmbox,4,3.2 ghz,,125 w,amd phenom ii x4,k10,deneb,am3,none,,no,boxed,yes,4 x 64 kb instruction 4 x 64 kb data,4 x 512 kb,1 x 6 mb,45 nm,no,,"(10 Ratings, 4.4 Average)","Good Quad Core CPU, gets the job done, runs like a vacuum cleaner with stock cooler,super good cpu! now old, but still good,This 4-core is still going strong ! Black Edition has an unlocked multiplier, making it easy to overclock.,Still holds up quite well even for 2017. I don't have a good cooler what so ever so overclocking is out of the question the stock cooler is horrible and is a literal vacuum cleaner it's beyond noisy."
intel,pentium g620,bx80623g620,2,2.6 ghz,,65 w,intel pentium,sandy bridge,sandy bridge,lga1155,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,32 nm,no,,"(4 Ratings, 4.8 Average)",
intel,xeon e5-2697 v3,cm8064401807100,14,2.6 ghz,3.6 ghz,145 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,oem/tray,no,14 x 32 kb instruction 14 x 32 kb data,14 x 256 kb,1 x 35 mb,22 nm,yes: hyper-threading,$1003.89,(0 Ratings),
intel,intel cm8068403377513 desktop processor,cm8068403377513,2,3.9 ghz,,54 w,intel pentium gold,coffee lake,coffee lake,lga1151,intel uhd graphics 630,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,14 nm,yes: hyper-threading,$103.22,(0 Ratings),
intel,pentium g3220,bx80646g3220,2,3 ghz,,54 w,intel pentium,haswell,haswell,lga1150,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,no,,"(18 Ratings, 4.6 Average)","Cheaper alternative to the G3258. Still quite powerful and good enough for quite a few games with the right GPU. Don't expect to play demanding titles with the Dual-core though.,This is a pretty fast budget dual-core CPU that is highly overclock-able even with the stock cooler. ,It's a dirt cheap processor, and it's working fine, but I Would recommend to get the Pentium G3258, instead."
intel,intel xeon e5-2420v2,bx80634e52420v2,6,2.2 ghz,2.7 ghz,80 w,intel xeon e5,ivy bridge,ivy bridge-en,lga1356,none,384 gb,yes,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,22 nm,yes: hyper-threading,,(0 Ratings),
intel,xeon e5-2650l v2,cm8063501287602,10,1.7 ghz,2.1 ghz,70 w,intel xeon e5,ivy bridge,ivy bridge-ep,lga2011,none,,yes,oem/tray,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,$289.05,(0 Ratings),
intel,core 2 extreme qx9770,bx80569qx9770,4,3.2 ghz,,136 w,intel core 2 extreme,core,yorkfield,lga775,none,,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,2 x 6 mb,none,45 nm,no,,"(1 Rating, 5.0 Average)",
intel,pentium g4520,bx80662g4520,2,3.6 ghz,,51 w,intel pentium,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,no,,"(2 Ratings, 4.5 Average)","Originally i was going to go for a G4400 but CCL had none in stock so spent a bit more to get something a bit better.,So far no issues at all with this and the stock cooler - CPU reached a peak of 61 degrees C running a standard IntelBurnIn test but was back down to idle temps within a minute or so - for a stock cooler i'm impressed ,solid medium end processor with room to upgrade! It was a little more than what it was worth but it did come with its own CPU fan with thermal paste already on it (not disturbed)."
intel,intel core i3-8300t processor cm8068403377212 - oem/tray,cm8068403377212,4,3.2 ghz,,35 w,intel core i3,coffee lake,coffee lake,lga1151,intel uhd graphics 630,64 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,no,$349.98,(0 Ratings),
intel,,cm8067102055800,10,3 ghz,3.5 ghz,140 w,intel core i7 extreme,broadwell,broadwell-e,lga2011-3,none,,no,oem/tray,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,14 nm,yes: hyper-threading,"$1757.07,$1795.00",(0 Ratings),
intel,,cm8068403378112,2,3.1 ghz,,65 w,intel celeron,coffee lake,coffee lake,lga1151,intel uhd graphics 610,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 2 mb,14 nm,no,$62.73,(0 Ratings),
amd,opteron 6378,os6378wktgghkwof,16,2.4 ghz,3.3 ghz,115 w,amd opteron,piledriver,abu dhabi,g34,none,,no,boxed,no,8 x 64 kb instruction 16 x 16 kb data,8 x 2 mb,2 x 8 mb,32 nm,no,"$576.98,$921.95",(0 Ratings),
intel,,bx80677i57400t,4,2.4 ghz,3 ghz,35 w,intel core i5,kaby lake,kaby lake-s,lga1151,intel hd graphics 630,64 gb,no,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 6 mb,14 nm,no,"$205.27,$205.27",(0 Ratings),
amd,a4-7300,ad7300okhlbox,2,3.8 ghz,4 ghz,65 w,amd a4,piledriver,richland,fm2,radeon hd 8470d,,no,boxed,yes,1 x 64 kb instruction 2 x 16 kb data,1 x 1 mb,none,32 nm,no,$98.95,(0 Ratings),
intel,core i7-4790t,cm8064601561513,4,2.7 ghz,,45 w,intel core i7,haswell refresh,haswell refresh,lga1150,none,,no,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,$339.00,(0 Ratings),
intel,xeon e5-2670 v2,bx80635e52670v2,10,2.5 ghz,3.3 ghz,115 w,intel xeon e5,ivy bridge,ivy bridge-ep,lga2011,none,,yes,boxed,no,10 x 32 kb instruction 10 x 32 kb data,10 x 256 kb,1 x 25 mb,22 nm,yes: hyper-threading,$1527.50,"(1 Rating, 4.0 Average)","Got a 2.3Ghz engineering sample instead of the retail unit, does pretty well for an old cpu, performance seems on par with an i5 6/7600k in games and to a ryzen 1600 in multithreaded tasks."
intel,xeon e5-2640 v3,bx80644e52640v3,8,2.6 ghz,3.4 ghz,90 w,intel xeon e5,haswell,haswell-ep,lga2011-3,none,,yes,boxed,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,22 nm,yes: hyper-threading,$436.38,(0 Ratings),
intel,,cm8066002033006,14,1.7 ghz,2.5 ghz,65 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,oem/tray,no,14 x 32 kb instruction 14 x 32 kb data,14 x 256 kb,1 x 35 mb,14 nm,yes: hyper-threading,$1499.00,(0 Ratings),
intel,pentium g860,bx80623g860,2,3 ghz,,65 w,intel pentium,sandy bridge,sandy bridge,lga1155,intel hd graphics,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,32 nm,no,$72.98,"(8 Ratings, 4.6 Average)",
intel,xeon e5-1620 v4,cm8066002044103,4,3.5 ghz,3.8 ghz,140 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 10 mb,14 nm,yes: hyper-threading,$783.00,(0 Ratings),
intel,intel celeron processor g3920 cm8066201938000 oem/tray,cm8066201938000,2,2.6 ghz,,35 w,intel celeron,skylake,skylake-s,lga1151,intel hd graphics 510,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 2 mb,14 nm,no,"$199.99,$206.95,$207.23",(0 Ratings),
amd,a6-3500,ad3500ojgxbox,3,2.1 ghz,,65 w,amd a6,k10,llano,fm1,radeon hd 6530d,,no,boxed,yes,3 x 64 kb instruction 3 x 64 kb data,3 x 1 mb,none,32 nm,no,,"(2 Ratings, 3.5 Average)","Can run a bit hot under load. Not the most efficient (65W @ 2.1GHz). But I got it so that it would do its job, and it does it well."
intel,xeon e5-2620 v2,bx80635e52620v2,6,2.1 ghz,2.6 ghz,80 w,intel xeon e5,ivy bridge,ivy bridge-ep,lga2011,none,,yes,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,22 nm,yes: hyper-threading,,(0 Ratings),
intel,,cm8067703015717,2,2.9 ghz,,51 w,intel celeron,kaby lake,kaby lake-s,lga1151,intel hd graphics 610,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 2 mb,14 nm,no,,(0 Ratings),
intel,,cm8067702870937,4,4.1 ghz,4.5 ghz,79 w,intel xeon e3,kaby lake,kaby lake-s,lga1155,intel hd graphics 630,64 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,"$505.50,$537.60",(0 Ratings),
intel,core i3-4370,bx80646i34370,2,3.8 ghz,,54 w,intel core i3,haswell refresh,haswell refresh,lga1150,intel hd graphics 4600,,yes,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 4 mb,22 nm,yes: hyper-threading,$299.00,"(7 Ratings, 4.7 Average)","Snappy performance for everyday user. I am surprised at the performance this chip delivers. Great for some light gaming as well. i have and i5 4690k and for general usage, it seems even faster.,For an i3, this thing is very powerful. This is the top of the line Haswell i3.
I use this in my NAS and it can transcode videos just fine.
With this i3, I was able to transcode 3 concurrent videos down to 2Mbps in Plex.,The on board GPU is more than capable of playing back HD content but I don't really use it for that.,I don't mind the performance of the thing it's pretty good.. for now maybe I might go for more ""cpu-intensive"" games later on.."
intel,core i3-3220t,bx80637i33220t,2,2.8 ghz,,35 w,intel core i3,ivy bridge,ivy bridge,lga1155,intel hd graphics 2500,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,yes: hyper-threading,$125.00,(0 Ratings),
intel,xeon e5-2695 v4,bx80660e52695v4,18,2.1 ghz,3.3 ghz,120 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,boxed,no,18 x 32 kb instruction 18 x 32 kb data,18 x 256 kb,1 x 45 mb,14 nm,yes: hyper-threading,$2516.23,(0 Ratings),
intel,core i3-2120t,bx80623i32120t,2,2.6 ghz,,35 w,intel core i3,sandy bridge,sandy bridge,lga1155,intel hd graphics 2000,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,32 nm,yes: hyper-threading,$150.00,"(1 Rating, 5.0 Average)",
intel,,bx80684e2236,6,3.4 ghz,4.8 ghz,80 w,intel xeon e,coffee lake refresh,coffee lake refresh,lga1151,none,128 gb,yes,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 12 mb,14 nm,yes: hyper-threading,,(0 Ratings),
amd,phenom ii x3 720 black,hdz720wfgibox,3,2.8 ghz,,95 w,amd phenom ii x3,k10,heka,am3,none,,no,boxed,yes,3 x 64 kb instruction 3 x 64 kb data,3 x 512 kb,1 x 6 mb,45 nm,no,$137.19,(0 Ratings),
amd,a10-5800k,ad580kwoa44hj,4,3.8 ghz,,100 w,amd a10,piledriver,trinity,fm2,radeon hd 7660d,,no,oem/tray,no,2 x 64 kb instruction 4 x 16 kb data,1 x 4 mb,none,32 nm,no,,(0 Ratings),
intel,xeon e3-1220 v3,bx80646e31220v3,4,3.1 ghz,3.5 ghz,80 w,intel xeon e3,haswell,haswell,lga1150,none,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,no,,"(2 Ratings, 4.5 Average)",Great CPU! works great as a workstation and OK as a Gaming system even with a pretty pathetic graphics card.
amd,fx-8310,fd8310wmhksbx,8,3.4 ghz,4.3 ghz,95 w,amd fx,piledriver,vishera,am3+,none,,no,boxed,yes,4 x 64 kb instruction 8 x 16 kb data,4 x 2 mb,1 x 8 mb,32 nm,no,,"(1 Rating, 4.0 Average)","Decent octa core CPU for gaming and videoediting. A bit rare, tho."
intel,,cm8068403362610,6,3 ghz,4.4 ghz,65 w,intel core i5,coffee lake refresh,coffee lake refresh,lga1151,intel uhd graphics 630,128 gb,no,oem/tray,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 9 mb,14 nm,no,,(0 Ratings),
amd,a4-6320,ad6320okhlbox,2,3.8 ghz,4 ghz,65 w,amd a4,piledriver,richland,fm2,radeon hd 8370d,,no,boxed,yes,1 x 64 kb instruction 2 x 16 kb data,1 x 1 mb,none,32 nm,no,$122.00,"(1 Rating, 5.0 Average)","CPU : AMD A4-6340 The A4-6300 was currently out of stock when we went to order, so we grabbed this one for only 4-5€ more! An extremely cheap CPU with decent integrated graphics allowing, if she ever wanted to, play some basic indie games on it with out too much trouble."
intel,pentium g4500,cm8066201927319,2,3.5 ghz,,51 w,intel pentium,skylake,skylake-s,lga1151,intel hd graphics 530,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,no,,(0 Ratings),
amd,athlon ii x2 270,adx270ocgmbox,2,3.4 ghz,,65 w,amd athlon ii x2,k10,regor,am3,none,,no,boxed,yes,2 x 64 kb instruction 2 x 64 kb data,2 x 1 mb,none,45 nm,no,,"(5 Ratings, 4.2 Average)","Not bad, though I'd recommend a Phenom or like a Q6600 over this. Or you know, a modern chip.,Overclocks decently- Mine runs at just under 4 GHz, at 1.520 V-Core. I'd drop it lower for 24/7 use."
intel,xeon e3-1245 v2,bx80637e31245v2,4,3.4 ghz,,77 w,intel xeon e3,ivy bridge,ivy bridge,lga1155,intel hd graphics p4000,,yes,boxed,yes,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,22 nm,yes: hyper-threading,$602.50,"(1 Rating, 4.0 Average)","Acceptable performance Xeon, cheaper than the i7 3770 used. Sucks that it cant be more than FSB overclocked."
intel,core i3-3225,bx80637i33225,2,3.3 ghz,,55 w,intel core i3,ivy bridge,ivy bridge,lga1155,intel hd graphics 4000,,no,boxed,yes,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,22 nm,yes: hyper-threading,$324.99,"(9 Ratings, 4.9 Average)",
intel,intel xeon e5-2660 sandy bridge 2.2 ghz lga 2011 95w server processor,sr0gz,8,2.2 ghz,3 ghz,95 w,intel xeon e5,sandy bridge,sandy bridge-ep,lga2011,none,,yes,oem/tray,no,8 x 32 kb instruction 8 x 32 kb data,8 x 256 kb,1 x 20 mb,32 nm,yes: hyper-threading,$124.08,(0 Ratings),
intel,xeon e5-2603 v4,bx80660e52603v4,6,1.7 ghz,,85 w,intel xeon e5,broadwell,broadwell-ep,lga2011-3,none,1536 gb,yes,boxed,no,6 x 32 kb instruction 6 x 32 kb data,6 x 256 kb,1 x 15 mb,14 nm,no,$242.73,(0 Ratings),
amd,opteron 6320,os6320wkt8ghkwof,8,2.8 ghz,3.3 ghz,115 w,amd opteron,piledriver,abu dhabi,g34,none,,no,boxed,no,4 x 64 kb instruction 8 x 16 kb data,4 x 2 mb,2 x 8 mb,32 nm,no,$253.50,(0 Ratings),
intel,pentium g4400,cm8066201927306,2,3.3 ghz,,54 w,intel pentium,skylake,skylake-s,lga1151,intel hd graphics 510,64 gb,yes,oem/tray,no,2 x 32 kb instruction 2 x 32 kb data,2 x 256 kb,1 x 3 mb,14 nm,no,$86.98,(0 Ratings),
intel,xeon e3-1240l v5,cm8066201935808,4,2.1 ghz,3.2 ghz,25 w,intel xeon e3,skylake,skylake-h,lga1151,none,64 gb,yes,oem/tray,no,4 x 32 kb instruction 4 x 32 kb data,4 x 256 kb,1 x 8 mb,14 nm,yes: hyper-threading,,(0 Ratings),
